day,x,y,z
211,-6.785007389544687E12,-1.0479876024194224E12,2.0146702262364704E7
212,-6.816453244986374E12,-1.0528166752390796E12,2.020290788847327E7
213,-6.847899079819071E12,-1.0576457448750038E12,2.025911346969624E7
214,-6.879344894231583E12,-1.0624748113564497E12,2.031531900646621E7
215,-6.910790688410131E12,-1.0673038747122706E12,2.0371524499209635E7
216,-6.9422364625384E12,-1.0721329349709258E12,2.042772994834694E7
217,-6.973682216797587E12,-1.0769619921604874E12,2.048393535429263E7
218,-7.005127951366441E12,-1.0817910463086478E12,2.0540140717455413E7
219,-7.0365736664213125E12,-1.0866200974427262E12,2.0596346038238287E7
220,-7.06801936213619E12,-1.0914491455896752E12,2.0652551317038655E7
221,-7.099465038682749E12,-1.0962781907760875E12,2.0708756554248434E7
222,-7.130910696230386E12,-1.1011072330282026E12,2.076496175025414E7
223,-7.162356334946263E12,-1.1059362723719124E12,2.0821166905436996E7
224,-7.193801954995345E12,-1.110765308832767E12,2.0877372020173028E7
225,-7.225247556540438E12,-1.1155943424359822E12,2.093357709483315E7
226,-7.25669313974223E12,-1.1204233732064436E12,2.0989782129783265E7
227,-7.288138704759323E12,-1.1252524011687139E12,2.1045987125384346E7
228,-7.3195842517482705E12,-1.130081426347037E12,2.1102192081992526E7
229,-7.351029780863613E12,-1.1349104487653447E12,2.1158396999959186E7
230,-7.382475292257913E12,-1.139739468447261E12,2.1214601879631035E7
231,-7.413920786081787E12,-1.1445684854161082E12,2.1270806721350197E7
232,-7.44536626248394E12,-1.1493974996949116E12,2.1327011525454286E7
233,-7.476811721611198E12,-1.1542265113064048E12,2.1383216292276487E7
234,-7.508257163608537E12,-1.1590555202730342E12,2.1439421022145625E7
235,-7.539702588619115E12,-1.1638845266169639E12,2.1495625715386257E7
236,-7.571147996784305E12,-1.1687135303600808E12,2.1551830372318726E7
237,-7.60259338824372E12,-1.1735425315239988E12,2.1608034993259247E7
238,-7.634038763135246E12,-1.1783715301300635E12,2.166423957851997E7
239,-7.665484121595069E12,-1.1832005261993567E12,2.1720444128409054E7
240,-7.696929463757702E12,-1.1880295197527004E12,2.177664864323073E7
241,-7.728374789756013E12,-1.1928585108106616E12,2.1832853123285364E7
242,-7.759820099721251E12,-1.1976874993935557E12,2.1889057568869535E7
243,-7.791265393783074E12,-1.2025164855214512E12,2.1945261980276085E7
244,-7.822710672069574E12,-1.2073454692141736E12,2.2001466357794188E7
245,-7.854155934707301E12,-1.212174450491309E12,2.205767070170941E7
246,-7.885601181821286E12,-1.2170034293722085E12,2.211387501230376E7
247,-7.917046413535071E12,-1.221832405875991E12,2.217007928985576E7
248,-7.948491629970728E12,-1.2266613800215479E12,2.2226283534640502E7
249,-7.97993683124888E12,-1.2314903518275461E12,2.2282487746929694E7
250,-8.011382017488731E12,-1.236319321312432E12,2.2338691926991723E7
251,-8.042827188808084E12,-1.241148288494434E12,2.239489607509171E7
252,-8.07427234532336E12,-1.2459772533915676E12,2.2451100191491548E7
253,-8.105717487149627E12,-1.250806216021637E12,2.2507304276449975E7
254,-8.137162614400612E12,-1.2556351764022393E12,2.2563508330222607E7
255,-8.16860772718873E12,-1.2604641345507673E12,2.2619712353061996E7
256,-8.2000528256251E12,-1.2652930904844133E12,2.2675916345217682E7
257,-8.231497909819562E12,-1.2701220442201714E12,2.273212030693623E7
258,-8.262942979880702E12,-1.2749509957748408E12,2.2788324238461286E7
259,-8.29438803591587E12,-1.279779945165029E12,2.2844528140033618E7
260,-8.325833078031196E12,-1.2846088924071543E12,2.290073201189116E7
261,-8.35727810633161E12,-1.289437837517449E12,2.295693585426906E7
262,-8.388723120920861E12,-1.2942667805119622E12,2.3013139667399727E7
263,-8.420168121901532E12,-1.2990957214065623E12,2.306934345151286E7
264,-8.451613109375061E12,-1.30392466021694E12,2.3125547206835493E7
265,-8.483058083441753E12,-1.3087535969586104E12,2.318175093359205E7
266,-8.514503044200803E12,-1.3135825316469163E12,2.3237954632004373E7
267,-8.545947991750307E12,-1.3184114642970305E12,2.329415830229176E7
268,-8.57739292618728E12,-1.3232403949239583E12,2.3350361944671E7
269,-8.608837847607675E12,-1.3280693235425393E12,2.3406565559356432E7
270,-8.640282756106393E12,-1.3328982501674512E12,2.3462769146559957E7
271,-8.671727651777301E12,-1.3377271748132107E12,2.3518972706491087E7
272,-8.703172534713248E12,-1.342556097494177E12,2.3575176239356976E7
273,-8.734617405006078E12,-1.3473850182245535E12,2.363137974536246E7
274,-8.766062262746645E12,-1.35221393701839E12,2.368758322471009E7
275,-8.797507108024826E12,-1.357042853889585E12,2.3743786677600153E7
276,-8.82895194092954E12,-1.3618717688518882E12,2.3799990104230728E7
277,-8.86039676154875E12,-1.3667006819189019E12,2.38561935047977E7
278,-8.891841569969492E12,-1.3715295931040837E12,2.39123968794948E7
279,-8.923286366277877E12,-1.3763585024207485E12,2.396860022851364E7
280,-8.954731150559107E12,-1.3811874098820703E12,2.402480355204373E7
281,-8.986175922897492E12,-1.3860163155010842E12,2.4081006850272518E7
282,-9.017620683376453E12,-1.3908452192906885E12,2.4137210123385422E7
283,-9.049065432078543E12,-1.3956741212636462E12,2.4193413371565852E7
284,-9.080510169085455E12,-1.4005030214325876E12,2.4249616594995245E7
285,-9.111954894478037E12,-1.4053319198100117E12,2.430581979385309E7
286,-9.143399608336299E12,-1.4101608164082878E12,2.436202296831695E7
287,-9.174844310739428E12,-1.4149897112396577E12,2.44182261185625E7
288,-9.206289001765799E12,-1.419818604316237E12,2.447442924476355E7
289,-9.237733681492984E12,-1.4246474956500176E12,2.4530632347092062E7
290,-9.269178349997766E12,-1.4294763852528684E12,2.458683542571819E7
291,-9.300623007356145E12,-1.4343052731365378E12,2.4643038480810292E7
292,-9.332067653643354E12,-1.439134159312655E12,2.469924151253497E7
293,-9.363512288933865E12,-1.4439630437927314E12,2.4755444521057077E7
294,-9.394956913301404E12,-1.4487919265881624E12,2.4811647506539755E7
295,-9.426401526818957E12,-1.4536208077102288E12,2.486785046914445E7
296,-9.45784612955878E12,-1.4584496871700986E12,2.4924053409030937E7
297,-9.489290721592408E12,-1.4632785649788286E12,2.4980256326357353E7
298,-9.52073530299067E12,-1.4681074411473655E12,2.5036459221280206E7
299,-9.552179873823691E12,-1.4729363156865474E12,2.5092662093954396E7
300,-9.583624434160906E12,-1.4777651886071052E12,2.5148864944533248E7
301,-9.615068984071068E12,-1.4825940599196646E12,2.5205067773168527E7
302,-9.646513523622258E12,-1.4874229296347463E12,2.526127058001046E7
303,-9.677958052881889E12,-1.4922517977627688E12,2.5317473365207754E7
304,-9.709402571916719E12,-1.4970806643140486E12,2.537367612890762E7
305,-9.74084708079286E12,-1.501909529298802E12,2.5429878871255793E7
306,-9.772291579575783E12,-1.5067383927271462E12,2.5486081592396546E7
307,-9.803736068330332E12,-1.511567254609101E12,2.5542284292472716E7
308,-9.835180547120725E12,-1.5163961149545896E12,2.559848697162572E7
309,-9.866625016010564E12,-1.52122497377344E12,2.5654689629995566E7
310,-9.898069475062848E12,-1.526053831075386E12,2.5710892267720886E7
311,-9.92951392433997E12,-1.5308826868700688E12,2.5767094884938944E7
312,-9.96095836390374E12,-1.535711541167038E12,2.582329748178566E7
